InputID,TargetID,Distance
Z0000,Z1403,277.4482
Z0000,Z0035,143.38385
Z0000,Z0349,137.93641
Z0000,Z0348,157.22306
Z0000,Z0034,247.85394
Z0000,Z0351,190.42036
Z0000,Z0350,198.52139
Z0000,Z0515,128.83493
Z0000,Z0353,120.9457
Z0000,Z0352,103.67597
Z0000,Z1772,191.43806
Z0000,Z0356,188.61898
Z0000,Z1774,188.86942
Z0000,Z1773,224.99102
Z0000,Z1649,311.94969
Z0000,Z1775,184.09928
Z0000,Z1236,215.02484
Z0000,Z1238,73.61013
Z0000,Z1237,145.27256
Z0000,Z1172,324.75515
Z0000,Z1240,118.64982
Z0000,Z1239,136.78679
Z0000,Z1242,65.9279
Z0000,Z1173,292.8438
Z0000,Z1241,78.72204
Z0000,Z1977,129.38462
Z0000,Z0126,275.8925
Z0000,Z1980,102.60334
Z0000,Z1180,290.71241
Z0000,Z0066,297.7861
Z0000,Z1181,310.73259
Z0000,Z0073,337.77513
Z0000,Z1186,217.97221
Z0000,Z0195,237.29594
Z0000,Z1185,370.09264
Z0000,Z1188,196.62262
Z0000,Z1187,239.66604
Z0000,Z0131,91.80507
Z0000,Z0074,347.38186
Z0000,Z0077,207.24244
Z0000,Z0133,273.2185
Z0000,Z0132,194.43825
Z0000,Z1195,271.05594
Z0000,Z1073,295.53231
Z0000,Z0086,69.12917
Z0000,Z0143,283.34634
Z0000,Z0089,192.84122
Z0000,Z0145,284.43693
Z0000,Z0144,180.63636
Z0000,Z0090,256.63128
Z0001,Z1281,160.29898
Z0001,Z1282,302.94889
Z0001,Z1409,172.68568
Z0001,Z1408,148.1119
Z0001,Z1411,148.35743
Z0001,Z1410,106.01284
Z0001,Z1413,127.75304
Z0001,Z1289,296.81475
Z0001,Z1412,141.43292
Z0001,Z1291,263.49693
Z0001,Z1293,158.08422
Z0001,Z0590,102.04065
Z0001,Z1294,145.34618
Z0001,Z0591,141.353
Z0001,Z1844,213.22572
Z0001,Z1843,191.61399
Z0001,Z1846,257.44869
Z0001,Z1845,217.39648
Z0001,Z0068,225.02152
Z0001,Z1256,140.38417
Z0001,Z1259,284.93698
Z0001,Z1258,254.3363
Z0001,Z1261,167.86526
Z0001,Z1932,261.95444
Z0001,Z1260,264.61208
Z0001,Z1263,234.44468
Z0001,Z1934,159.65252
Z0001,Z1262,275.91158
Z0001,Z1933,135.36958
Z0001,Z1936,280.75214
Z0001,Z1935,291.92242
Z0001,Z0141,302.18527
Z0001,Z1265,201.63145
Z0001,Z0140,228.70577
Z0001,Z1393,59.98824
Z0001,Z1937,267.99938
Z0001,Z0142,190.4287
Z0001,Z1327,239.02399
Z0001,Z1266,176.52475
Z0001,Z1329,213.27314
Z0001,Z1268,235.69475
Z0001,Z1944,121.26149
Z0001,Z1273,268.015
Z0001,Z1455,104.18148
